ID_PRODUCTO	DESCRIPCIÓN DE PRODUCTO
P0001	ESCOPOLAMINA N-BUTIL BROMURO - 20 MG/ML INY 1ML IM/IV - SOLUCION INYECTABLE - N- BUTILBROMURO DE HIO
P0002	RANITIDINA - 300 MG - TABLETA RECUBIERTA - GASTROCAD
P0003	FLUCONAZOL - 150 MG. - CAPSULA - FLUCONAZOL
P0004	PARACETAMOL - 500 MG - TABLETA - PARACETAMOL
P0004	PARACETAMOL - 500 MG - TABLETA - PARACETAMOL
P0004	PARACETAMOL - 500 MG - TABLETA - PARACETAMOL
P0005	EPOETINA ALFA (ERITROPOYETINA) - 2000 UI/ML INY 1ML - EPOTROPIN / CHINA	XYZ0349
P0005	EPOETINA ALFA (ERITROPOYETINA) - 2000 UI/ML INY 1ML - EPOTROPIN / CHINA
P0006	CETIRIZINA - 10MG - TABLETA RECUBIERTA - CETCAD
P0007	ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO - 400 + 400 MG/5ML SUS 120 ML - SUSPENSION ORAL
P0007	ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO - 400 + 400 MG/5ML SUS 120 ML - SUSPENSION ORAL
P0007	ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO - 400 + 400 MG/5ML SUS 120 ML - SUSPENSION ORAL
P0007	ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO - 400 + 400 MG/5ML SUS 120 ML - SUSPENSION ORAL
P0007	ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO - 400 + 400 MG/5ML SUS 120 ML - SUSPENSION ORAL
P0007	ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO - 400 + 400 MG/5ML SUS 120 ML - SUSPENSION ORAL
P0008	NAPROXENO - 275 MG. - TABLETA RECUBIERTA - NAPROXENO
P0009	IBUPROFENO - 100 MG/5 ML SUS 60 ML - SUSPENSION ORAL - IBUPROFENO
P0010	DIMENHIDRINATO - 50 MG INY 5 ML IM/IV - SOLUCION INYECTABLE - GRAVDAN
P0011	AGUA ESTERIL - PARA INYECCION X 5ML  - SOLUCION INYECTABLE - AGUA ESTÉRIL PARA INYECCIÓN
P0012	CEFALEXINA - 250 MG/ 5 ML SUS 60 ML. - POLVO PARA SUSPENSION ORAL - CEFALEXINA 250 MG/5ML
P0013	NIFEDIPINO - 10 MG - TABLETA - NIFEDIPINO
P0014	HIOSCINA BUTIL BROMURO - 10 MG. - TABLETA RECUBIERTA - BUSCAD
P0015	CLORFENAMINA - 2 MG./ 5 ML./ 120 ML. - SOLUCION ORAL
P0016	FENOBARBITAL - 100 MG - TABLETA - FENOBARBITAL
P0017	LOSARTAN POTASICO - 50 MG - TABLETA RECUBIERTA - LOSARTAN POTASICO
P0018	NAPROXENO - 550 MG.  - TABLETA RECUBIERTA - NAPROXENO
P0019	CLORFENAMINA - 2 MG./ 5 ML./ 120 ML. - SOLUCION ORAL - CLORFENAMINA MALEATO
P0016	FENOBARBITAL - 100 MG - TABLETA - FENOBARBITAL
P0017	LOSARTAN POTASICO - 50 MG - TABLETA RECUBIERTA - LOSARTAN POTASICO
NAPROXENO - 550 MG.  - TABLETA RECUBIERTA - NAPROXENO	P0018	NAPROXENO - 550 MG.  - TABLETA RECUBIERTA - NAPROXENO
P0020	METFORMINA - 850 MG - TABLETA RECUBIERTA - METFORCAD
